ID dos Cliques,Tempo dos Cliques,Região dos Cliques,Sub_id,Referenciador
cf73f23faf08e3642bb6b5b0b1441078,2026-02-25 23:52:50,Brazil,TOALHA-INTERESSES01---,Facebook
b5b44ca1c20d8313b3c1935f084997db,2026-02-25 23:35:22,Brazil,MOP-INTERESSES01---,Facebook
3da867b1c51726e66f2f1cbc557c142c,2026-02-25 23:19:12,Brazil,TOALHA-INTERESSES01---,Facebook
242b647239f66bbac19bb50c1b357c34,2026-02-25 22:32:40,Brazil,TOALHA-INTERESSES01---,Facebook
f4f2cca8ba0476772f6d7ef324d1940a,2026-02-25 22:13:53,Brazil,TOALHA-INTERESSES01---,Facebook
68b787ce570ab0971405d7af809386af,2026-02-25 21:24:12,Brazil,MOP-INTERESSES01---,Facebook
0c4d595be233ea388f2d1da5117b8cfb,2026-02-25 21:10:59,Brazil,TOALHA-INTERESSES01---,Facebook
265b97bcf9acc75d1a36c82b24d75656,2026-02-25 21:03:59,Brazil,TOALHA-INTERESSES01---,Instagram
06b08e3adbb0765421660cb112ae6117,2026-02-25 20:46:32,Brazil,UMIDIFICADOR-INTERESSES01---,Others
d298f7252cf410b369432ba347653a66,2026-02-25 20:45:34,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
0263a7525a7a3b501b3e40e12b5a7cce,2026-02-25 19:27:28,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
c3eb91dec718f12570b2b12ce38b01f7,2026-02-25 19:27:13,Brazil,MOP-INTERESSES01---,Facebook
8c45ca42ac5956f9d4fcf72531826d2f,2026-02-25 19:13:20,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
042be6f35726e761e16aa0c58df07b4e,2026-02-25 18:59:41,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
43d672e8a5d5e241be03b9c90e6e2df9,2026-02-25 18:55:11,Brazil,UMIDIFICADOR-INTERESSES01---,Others
aa127cfe8175f8948ebc8a78f979a952,2026-02-25 17:57:28,Brazil,TOALHA-INTERESSES01---,Facebook
a66400330a52ffd2c02a9127f992e694,2026-02-25 17:56:08,Brazil,UMIDIFICADOR-INTERESSES01---,Others
21be543a433d38e5e529ccc4c060c2a8,2026-02-25 17:55:07,Brazil,UMIDIFICADOR-INTERESSES01---,Instagram
9d702054858f0b35d81884d727f816ad,2026-02-25 17:31:15,Brazil,TOALHA-INTERESSES01---,Facebook
31560d0245042b4f18e0df1cbd09bec0,2026-02-25 17:26:25,Brazil,TOALHA-INTERESSES01---,Facebook
0004f4690c0e3fc404be9e65dffe3db0,2026-02-25 16:58:50,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
be18e1b57c05b30a7bd0e98295e40186,2026-02-25 16:55:20,Brazil,TOALHA-INTERESSES01---,Facebook
5cd2641f446f3a5e900624dafb2907a3,2026-02-25 16:54:22,Brazil,MOP-INTERESSES01---,Facebook
b6a735d3aeaf1cfad2998efb600e1cdb,2026-02-25 16:34:43,Brazil,MOP-INTERESSES01---,Facebook
6952ade52d4023131b2b70c5a593aedc,2026-02-25 16:29:37,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
5b6d862c9f72a021500e2c21a65a6b49,2026-02-25 15:52:36,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
b9906e975484169c7ba3f749e38e0165,2026-02-25 15:38:25,Brazil,TOALHA-INTERESSES01---,Facebook
11125d7ede2bf85ee2137691ed6ee628,2026-02-25 15:30:14,Brazil,UMIDIFICADOR-INTERESSES01---,Instagram
403d8643cf3460b4ab00c359f910daa5,2026-02-25 15:29:51,Brazil,UMIDIFICADOR-INTERESSES01---,Instagram
576f743c427d7c0605fd3f987a709e56,2026-02-25 14:38:15,Brazil,UMIDIFICADOR-INTERESSES01---,Others
c88f2c5019205c679bb983be1297e596,2026-02-25 14:06:49,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
5b4d5f838b453272cf42459c0f95d577,2026-02-25 13:31:21,Brazil,UMIDIFICADOR-INTERESSES01---,Others
b72088ec34bc9115b7df3a0ecd5553ae,2026-02-25 13:27:35,Brazil,UMIDIFICADOR-INTERESSES01---,Others
eece06530c0005a691e68c1536a596fb,2026-02-25 13:18:23,Brazil,,Shopeevideo-Shopee
d5b5b14eea1a79857969fa30a7ef69ba,2026-02-25 13:12:44,Brazil,UMIDIFICADOR-INTERESSES01---,Instagram
1d92524ff5c17b114683cce5d62245fe,2026-02-25 13:12:42,Brazil,UMIDIFICADOR-INTERESSES01---,Instagram
10c6b47ea923a266ff46efc0dd180462,2026-02-25 12:50:43,Brazil,TOALHA-INTERESSES01---,Facebook
b9d95c1c14aa64db9b923347ff802c36,2026-02-25 12:42:42,Brazil,TOALHA-INTERESSES01---,Facebook
12047b3a75397f95e3cefabff616f3d9,2026-02-25 11:19:15,Brazil,TOALHA-INTERESSES01---,Facebook
70e80dcab867b52552ba5c9ae7fe48ee,2026-02-25 11:15:58,Brazil,MOP-INTERESSES01---,Facebook
ad027810a91a24d16a98b54ee938f9d2,2026-02-25 10:57:48,Brazil,MOP-INTERESSES01---,Facebook
7a60ead105158adc08f7c71436fc72c7,2026-02-25 10:55:51,Brazil,TOALHA-INTERESSES01---,Facebook
e791d8d19e76de73a72ffead8e5f2bd3,2026-02-25 10:55:38,Brazil,TOALHA-INTERESSES01---,Facebook
f7634e948f8481b240e066a13d54a87c,2026-02-25 10:37:41,Brazil,UMIDIFICADOR-INTERESSES01---,Facebook
520fb15c8b6e168569acdb751c50a466,2026-02-25 10:10:32,Brazil,UMIDIFICADOR-INTERESSES01---,Others
c1175ac871b44a5d2803ccdfb7683188,2026-02-25 10:01:47,Brazil,TOALHA-INTERESSES01---,Facebook
47f47e8a35fed1d99c747406097056c7,2026-02-25 09:59:43,Brazil,TOALHA-INTERESSES01---,Instagram
89ed89dc074ccd7edfe326790b9929f2,2026-02-25 09:52:47,Brazil,UMIDIFICADOR-INTERESSES01---,Instagram
55ef85fc7479f693840a50bb58ee5f30,2026-02-25 09:08:45,Brazil,TOALHA-INTERESSES01---,Facebook
6193dc1434f7369119b5fd4dd8d5c4a1,2026-02-25 08:59:40,Brazil,MOP-INTERESSES01---,Facebook
466d2ff9db114d9790c539f1e778ff3e,2026-02-25 08:50:23,Brazil,TOALHA-INTERESSES01---,Facebook
